mgi_homology_class	mouse_gene_symbol	mouse_entrez_id	mouse_mgi_id	human_gene_symbol	human_entrez_id	human_hgnc_id	human_omim_id
51821756	0610030E20Rik	68364	MGI:1915614	C2orf68	388969	HGNC:34353	OMIM:618519
51822554	1110002E22Rik	102634333	MGI:1915066	C4orf54	285556	HGNC:27741	OMIM:617881
51821508	1110004F10Rik	56372	MGI:1929274	C11orf58	10944	HGNC:16990	OMIM:619625
51823013	1110032F04Rik	68725	MGI:1915975	C3orf80	401097	HGNC:40048	
51821665	1110038F14Rik	117171	MGI:2152337	C8orf33	65265	HGNC:26104	
51821603	1110059E24Rik	66206	MGI:1913456	C9orf85	138241	HGNC:28784	OMIM:620761
51810109	1110059G10Rik	66202	MGI:1913452	KIAA1143	57456	HGNC:29198	
51822968	1110065P20Rik	68920	MGI:1916170	C1orf122	127687	HGNC:24789	
51821629	1500009L16Rik	69784	MGI:1917034	C12orf75	387882	HGNC:35164	
51821505	1600012H06Rik	67912	MGI:1915162	C6orf120	387263	HGNC:21247	OMIM:616987
51807569	1600014C10Rik	72244	MGI:1919494	C19orf12	83636	HGNC:25443	OMIM:614297
51823044	1700001O22Rik	73598	MGI:1923631	C9orf50	375759	HGNC:23677	
51823005	1700003E16Rik	71837	MGI:1919087	C2orf81	388963	HGNC:34350	
51822987	1700003F12Rik	75480	MGI:1922730	C20orf144	128864	HGNC:16137	
51822963	1700008O03Rik	69349	MGI:1916599	C19orf81	342918	HGNC:40041	
51810989	1700009N14Rik	75471	MGI:1922721	RAN	5901	HGNC:9846	OMIM:601179
51823028	1700010I14Rik	66931	MGI:1914181	C6orf118	168090	HGNC:21233	
51823021	1700011L22Rik	67687	MGI:1914937	C4orf51	646603	HGNC:37264	
51822931	1700012B09Rik	69325	MGI:1916575	C11orf97	643037	HGNC:49544	
51817868	1700013H16Rik	75514	MGI:1922764	SYCP3	50511	HGNC:18130	OMIM:604759
51823018	1700016H13Rik	74218	MGI:1921468	C4orf36	132989	HGNC:28386	OMIM:621278
51822949	1700018B08Rik	76405	MGI:1923655	C16orf95	100506581	HGNC:40033	
51822986	1700020A23Rik	75656	MGI:1922906	C20orf141	128653	HGNC:16134	
51822954	1700020L24Rik	66330	MGI:1913580	PGBDF	146853	HGNC:29581	
51821784	1700024G13Rik	67085	MGI:1914335	C10orf53	282966	HGNC:27421	
51818828	1700025G04Rik	69399	MGI:1916649	C1orf21	81563	HGNC:15494	
51822014	1700028K03Rik	76421	MGI:1923671	C1orf146	388649	HGNC:24032	OMIM:618968
51822938	1700029H14Rik	66501	MGI:1913751	C13orf46	100507747	HGNC:53786	
51821864	1700030J22Rik	69528	MGI:1916778	C16orf46	123775	HGNC:26525	
51812977	1700030K09Rik	72254	MGI:1919504	C19orf44	84167	HGNC:26141	OMIM:621208
51822934	1700031M16Rik	73302	MGI:1920552	C12orf54	121273	HGNC:28553	
51827353	1700034E13Rik	78414	MGI:1925664	ZNF475	100505841	HGNC:53564	
51822936	1700034J05Rik	73344	MGI:1920594	C12orf71	728858	HGNC:34452	
51822947	1700037C18Rik	73261	MGI:1920511	C16orf90	646174	HGNC:34455	
51807622	1700066M21Rik	73467	MGI:1920717	C2orf69	205327	HGNC:26799	OMIM:619219
51821800	1700067K01Rik	73453	MGI:1920703	C19orf67	646457	HGNC:34354	
51822348	1700088E04Rik	27660	MGI:1920774	C22orf23	84645	HGNC:18589	OMIM:619678
51822998	1700093K21Rik	67358	MGI:1914608	C2orf74	339804	HGNC:34439	
51823012	1700102P08Rik	112418	MGI:2148248	C3orf62	375341	HGNC:24771	
51822932	1700113H08Rik	76640	MGI:1923890	C12orf42	374470	HGNC:24729	
51817689	1700123O20Rik	58248	MGI:1920893	C14orf119	55017	HGNC:20270	
51822586	1810009A15Rik	66276	MGI:1913526	C11orf98	102288414	HGNC:51238	
51822955	1810010H24Rik	69066	MGI:1916316	C17orf58	284018	HGNC:27568	
51821790	1810030O07Rik	69155	MGI:1916405	CXorf38	159013	HGNC:28589	OMIM:301117
51810119	1810055G02Rik	72056	MGI:1919306	C11orf24	53838	HGNC:1174	OMIM:610880
51822929	2010003K11Rik	69861	MGI:1917111	C11orf86	254439	HGNC:34442	
51821963	2010315B03Rik	630836	MGI:1919321	ZNF670	93474	HGNC:28167	
51822960	2200002D01Rik	72275	MGI:1919525	C19orf33	64073	HGNC:16668	OMIM:619711
51808979	2210016L21Rik	72357	MGI:1919607	C12orf43	64897	HGNC:25719	
51824521	2210017I01Rik	545546	MGI:3588251	LCE7A	122526777	HGNC:55921	
51812305	2210408I21Rik	72371	MGI:1919621	KIAA0825	285600	HGNC:28532	OMIM:617266
51823031	2300002M23Rik	69542	MGI:1916792	C6orf15	29113	HGNC:13927	OMIM:611401
51821824	2300009A05Rik	69478	MGI:1916728	C15orf61	145853	HGNC:34453	
51821640	2310009B15Rik	69549	MGI:1916799	C1orf53	388722	HGNC:30003	
51812318	2310011J03Rik	66374	MGI:1913624	C19orf25	148223	HGNC:26711	
51812021	2310022A10Rik	66367	MGI:1913617	C19orf47	126526	HGNC:26723	
51810101	2310022B05Rik	69551	MGI:1916801	C1orf198	84886	HGNC:25900	
